"Search Key","Name","Description","Account Type","Account Sign","Document Controlled","Summary Level","Default Account","Parent_Value","Element Level","Operands","Show Value Condition","Title Node"
2953,"Deterioro de valor de créditos a largo plazo a empresas del grupo","Deterioro de valor de créditos a largo plazo a empresas del grupo","Asset","Debit","N","Y",,"295A","D",,"Algebraic","N"
29530,"Deterioro de valor de créditos a largo plazo a empresas del grupo","Deterioro de valor de créditos a largo plazo a empresas del grupo","Asset","Debit","N","N",,2953,"S",,"Algebraic","N"
2954,"Deterioro de valor de créditos a largo plazo a empresas asociadas","Deterioro de valor de créditos a largo plazo a empresas asociadas","Asset","Debit","N","Y",,"295A","D",,"Algebraic","N"
29540,"Deterioro de valor de créditos a largo plazo a empresas asociadas","Deterioro de valor de créditos a largo plazo a empresas asociadas","Asset","Debit","N","N",,2954,"S",,"Algebraic","N"
"A.A.IV.3","3. VALORES REPRESENTATIVOS DE DEUDA","3. VALORES REPRESENTATIVOS DE DEUDA","Asset","Debit","N","Y",,"A.A.IV","E",,"Algebraic","N"
"241A","Valores representativos de deuda a largo plazo de partes vinculadas","Valores representativos de deuda a largo plazo de partes vinculadas","Asset","Debit","N","Y",,"A.A.IV.3","C",,"Algebraic","N"
2413,"Valores representativos de deuda a largo plazo de empresas del grupo","Valores representativos de deuda a largo plazo de empresas del grupo","Asset","Debit","N","Y",,"241A","D",,"Algebraic","N"
24130,"Valores representativos de deuda a largo plazo de empresas del grupo","Valores representativos de deuda a largo plazo de empresas del grupo","Asset","Debit","N","N",,2413,"S",,"Algebraic","N"
2414,"Valores representativos de deuda a largo plazo de empresas asociadas","Valores representativos de deuda a largo plazo de empresas asociadas","Asset","Debit","N","Y",,"241A","D",,"Algebraic","N"
24140,"Valores representativos de deuda a largo plazo de empresas asociadas","Valores representativos de deuda a largo plazo de empresas asociadas","Asset","Debit","N","N",,2414,"S",,"Algebraic","N"
"294A","Deterioro de valor de valores representativos de deuda a largo plazo de partes vinculadas","Deterioro de valor de valores representativos de deuda a largo plazo de partes vinculadas","Asset","Debit","N","Y",,"A.A.IV.3","C",,"Algebraic","N"
